,SAMPLE_ID,HRDetect_output_probablity
0,Sample_0002,0.0193469356479272
1,Sample_0003,0.0660284946623581
2,Sample_0004,0.999996863318763
3,Sample_0005,0.0392858074872039
4,Sample_0006,0.271551552980453
5,Sample_0007,0.747943314419473
6,Sample_0008,0.999979154811201
7,Sample_0009,0.999933238330937
8,Sample_0010,0.0162989392083846
9,Sample_0011,0.0263989462621541
10,Sample_0012,0.99993312337186
11,Sample_0013,0.999972653536909
12,Sample_0014,0.940979328840919
13,Sample_0015,0.995238688331707
14,Sample_0016,0.999990869060383
15,Sample_0017,0.887958894357902
16,Sample_0018,0.713499658341293
17,Sample_0019,0.999969329396831
18,Sample_0020,0.999974163035095
19,Sample_0021,0.999990745571716
20,Sample_0022,0.999762994841772
21,Sample_0023,0.999988738963711
22,Sample_0024,0.999986650281052
23,Sample_0025,0.419466908523393
24,Sample_0026,0.273349841078375
25,Sample_0027,0.890725494130505
26,Sample_0028,0.999980007407979
27,Sample_0029,0.0182165800575561
28,Sample_0031,0.623934504725778
29,Sample_0032,0.758924663339107
30,Sample_0033,0.00626840990094816
31,Sample_0034,0.999915085863952
32,Sample_0035,0.999708072472079
33,Sample_0036,0.382160924006445
34,Sample_0037,0.999908998092132
35,Sample_0038,0.999565511313019
36,Sample_0039,0.830485160626288
37,Sample_0040,0.188506873038817
38,Sample_0041,0.272369627059205
39,Sample_0042,0.999265106988515
40,Sample_0044,0.991856435065798
41,Sample_0045,0.674211620296472
42,Sample_0046,0.999956496065969
43,Sample_0047,0.999925150789436
44,Sample_0048,0.00493195738119854
45,Sample_0049,0.223105421370735
46,Sample_0050,0.994421729524231
47,Sample_0051,0.0250839317378437
48,Sample_0052,0.00209521908009878
49,Sample_0053,0.499599323286417
50,Sample_0054,0.99995544665305
51,Sample_0055,0.0877103659091624
52,Sample_0056,0.998133172481512
53,Sample_0057,0.999961400270517
54,Sample_0058,0.0591725246754506
55,Sample_0059,0.922755090117408
56,Sample_0060,0.756942822891167
57,Sample_0062,0.999994633534654
58,Sample_0063,0.0214982148028942
59,Sample_0065,0.47407889336369
60,Sample_0066,0.00720934560538078
61,Sample_0067,0.269195692541721
62,Sample_0068,0.0482822833825321
63,Sample_0069,0.560357006903951
64,Sample_0070,0.0552108940507355
65,Sample_0071,0.463903249304379
66,Sample_0072,0.7548046987403
67,Sample_0073,0.999998990235451
68,Sample_0074,0.959255609391139
69,Sample_0075,0.289210686097862
70,Sample_0076,0.99991574511526
71,Sample_0077,0.999935455398685
72,Sample_0078,0.240515184525316
73,Sample_0079,0.313930038474335
74,Sample_0080,0.526424404085673
75,Sample_0081,0.999991386964322
76,Sample_0082,0.111398291462088
77,Sample_0083,0.149324140343551
78,Sample_0084,0.976258573307701
79,Sample_0085,0.501874505972922
80,Sample_0086,0.583525207075561
81,Sample_0087,0.999955990063712
82,Sample_0088,0.998392993483014
83,Sample_0089,0.560363529792239
84,Sample_0090,0.649923915623372
85,Sample_0091,0.965705629693055
86,Sample_0092,0.905325728909627
87,Sample_0093,0.0649755864560134
88,Sample_0094,0.00322395485701936
89,Sample_0095,0.0538038761976683
90,Sample_0096,0.696625183012069
91,Sample_0097,0.847596252621191
92,Sample_0098,0.99994978173511
93,Sample_0099,0.863374903931743
94,Sample_0100,0.00310630865169468
95,Sample_0101,0.888194960055058
96,Sample_0102,0.200288823878504
97,Sample_0103,0.218235105779803
98,Sample_0104,0.999891922850949
99,Sample_0105,0.998849867666714
100,Sample_0106,0.0124786829411816
101,Sample_0107,0.951703673464716
102,Sample_0108,0.769894834434214
103,Sample_0109,0.999993934285779
104,Sample_0110,0.2342578653525
105,Sample_0111,0.215403053648108
106,Sample_0112,0.999840197634879
107,Sample_0113,0.277454667326638
108,Sample_0115,0.836290259360047
109,Sample_0116,0.999770435870615
110,Sample_0117,0.999802061403538
111,Sample_0118,0.555075171307104
112,Sample_0119,0.999467169997975
113,Sample_0120,0.142578757353898
114,Sample_0121,0.987681461732341
115,Sample_0122,0.0157752205257627
116,Sample_0123,0.701751740930143
117,Sample_0124,0.0495780525296047
118,Sample_0125,0.0110002462507852
119,Sample_0126,0.90179155687923
120,Sample_0127,0.370411897936633
121,Sample_0128,0.856588368026256
122,Sample_0129,0.179096583395164
123,Sample_0130,0.160125865004937
124,Sample_0131,0.337057034607422
125,Sample_0132,0.0533005250783706
126,Sample_0133,0.0234254043213516
127,Sample_0134,0.999968749290888
128,Sample_0135,0.999971861745773
129,Sample_0136,0.980788265310546
130,Sample_0137,0.0624880746324208
131,Sample_0138,0.999994533655627
132,Sample_0139,0.931476216661144
133,Sample_0140,0.581432646884595
134,Sample_0141,0.999981984903648
135,Sample_0142,0.641562819839213
136,Sample_0143,0.592488173603636
137,Sample_0144,0.3580300900629
138,Sample_0145,0.99979645687753
139,Sample_0146,0.99999176261335
140,Sample_0147,0.9999808054919
141,Sample_0148,0.897830068271623
142,Sample_0149,0.493689219304747
143,Sample_0150,0.805338665081191
144,Sample_0151,0.999347633887141
145,Sample_0152,0.828166640044577
146,Sample_0153,0.635939785481528
147,Sample_0154,0.849951064357798
148,Sample_0155,0.037281318071824
149,Sample_0157,0.999902294654256
150,Sample_0158,0.999981246663562
151,Sample_0159,0.830170665368077
152,Sample_0160,0.999994151373627
153,Sample_0161,0.924742586299432
154,Sample_0162,0.999993433760276
155,Sample_0163,0.999994762411367
156,Sample_0164,0.999990162112494
157,Sample_0165,0.0644057858109057
158,Sample_0166,0.133641760841118
159,Sample_0167,0.99955643567504
160,Sample_0168,0.99994978985042
