SAMPLE_ID,BRCA1/2_mut,other_HRR_gene_mutation_somatic,cnv_N_CNdipl,cnv_N_CNloss,cnv_N_CNgain,cnv_CNlt5_frac,cnv_CNgt10_frac,cnv_evenCN_frac,cnv_CNloss_frac,cnv_DUP_len_30000_inf,cnv_DUP_len_30_100,cnv_DEL_len_100000_inf,cnv_DIPLOID_len_100000_inf,sv_n_trans,sv_n_del,sv_n_inv,sv_n_tadem_dup,sv_trans_frac,sv_del_frac,sv_inv_frac,sv_tadem_dup_frac,sv_n_all_sv,sv_n_svclass_stdev,sv_dup_30000+,sv_del_100000+,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,ins_indel_ratio,del_indel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_del_mh_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,Ploidy,aberrant_cell_fraction,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,frac_cnv_DUP_len_30000_inf,frac_cnv_DEL_len_100000_inf,frac_cnv_DIPLOID_len_100000_inf,frac_sv_dup_30000+,frac_sv_del_frac,frac_sv_del_100000+,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,cnv_DUP_len_0_30000,cnv_DEL_len_0_100000,cnv_DIPLOID_len_0_100000,sv_dup_0_30000,sv_del_0_100000,frac_cnv_DUP_len_0_30000,frac_cnv_DEL_len_0_100000,frac_cnv_DIPLOID_len_0_100000,frac_sv_dup_0_30000,frac_sv_del_0_100000
Sample_0224,1,0,75,62,62,0.959798994974874,0.0,0.453125,0.5,50,0,52,64,102,38,34,173,0.293948126801153,0.109510086455331,0.0979827089337176,0.498559077809798,347,56.6364502771846,15,13,1.21052631578947,1.14705882352941,1.36994219653179,0.901960784313726,627,89,0.124301676,0.875698324,91,32,13,14,477,60,7,5,0,17,419,104,104,0.668261563,33,94,24,51,1.9474,0.9,30,16,0.24,477,29,17,0.806451612903226,0.838709677419355,0.853333333333333,0.0867052023121387,0.0028735632183908,0.341122202056866,1,51.69,43.8,0.85,0.21,0,0,12,10,11,158,25,0.19354838709677402,0.16129032258064502,0.14666666666666694,0.9132947976878613,0.658877797943134
Sample_0225,0,0,56,18,264,0.609467455621302,0.0887573964497041,0.492957746478873,0.0638297872340425,235,0,8,39,49,146,99,34,0.149390243902439,0.445121951219512,0.301829268292683,0.103658536585366,328,44.0964851206987,29,51,1.86986301369863,1.51515151515151,1.11764705882353,0.591836734693878,526,166,0.2398843931,0.7601156069,251,88,42,31,114,142,9,0,3,12,123,119,284,0.2338403042,30,244,14,115,3.7794,0.96,11,6,0.83,115,41,12,0.890151515151515,0.444444444444444,0.696428571428571,0.852941176470588,0.00303951367781155,0.3482533205646,9,32.82,68.47,2.09,0.22,0,0,29,10,17,5,95,0.10984848484848497,0.555555555555556,0.30357142857142905,0.14705882352941202,0.6517466794354
Sample_0226,0,0,55,28,284,0.741144414168937,0.0381471389645777,0.493827160493827,0.0897435897435897,246,0,5,39,18,46,57,73,0.0927835051546392,0.237113402061856,0.293814432989691,0.376288659793814,194,20.0561711201316,70,31,0.847826086956522,1.05263157894737,1.53424657534247,0.666666666666667,313,204,0.3945841393,0.6054158607,144,67,14,17,71,176,10,0,3,15,74,68,171,0.2364217252,25,242,13,113,3.3803,0.83,4,6,0.44,75,53,16,0.866197183098592,0.178571428571429,0.709090909090909,0.958904109589041,0.00512820512820513,0.670457079152731,1,35.09,63.5,1.81,0.11,1,1,38,23,16,3,15,0.13380281690140805,0.821428571428571,0.290909090909091,0.04109589041095896,0.329542920847269
Sample_0227,0,1,98,121,51,1.0,0.0,0.43265306122449,0.703488372093023,46,0,65,88,105,125,36,45,0.337620578778135,0.401929260450161,0.115755627009646,0.144694533762058,311,38.0484888004767,27,16,2.12,1.0,1.42222222222222,0.771428571428571,1229,278,0.1844724618,0.8155275382,293,98,36,41,761,222,16,5,7,28,737,161,331,0.5996745321,30,138,24,98,1.8158,0.86,23,17,0.64,763,33,29,0.901960784313726,0.537190082644628,0.897959183673469,0.6,0.00320512820512821,0.127589743589744,0,68.59,34.36,0.5,0.1,0,0,5,56,10,18,109,0.09803921568627405,0.462809917355372,0.10204081632653095,0.4,0.872410256410256
Sample_0228,0,0,79,63,61,0.896551724137931,0.0147783251231527,0.488888888888889,0.508064516129032,59,0,54,73,34,43,36,44,0.21656050955414,0.273885350318471,0.229299363057325,0.280254777070064,157,4.32290411644765,41,25,1.65116279069767,1.88888888888889,2.43181818181818,0.794117647058823,266,234,0.468,0.532,124,75,12,15,40,207,14,2,1,10,49,43,174,0.1842105263,18,116,15,66,1.889,0.93,6,2,0.35,40,12,10,0.967213114754098,0.857142857142857,0.924050632911392,0.931818181818182,0.00632911392405063,0.577715631439505,9,38.16,63.87,1.67,0.09,0,0,2,9,6,3,18,0.03278688524590201,0.14285714285714302,0.075949367088608,0.06818181818181801,0.422284368560495
Sample_0229,0,0,35,12,17,0.984375,0.0,0.587301587301587,0.413793103448276,14,0,8,31,14,8,7,3,0.4375,0.25,0.21875,0.09375,32,3.93700393700591,3,3,1.125,1.85714285714286,0.666666666666667,0.857142857142857,186,180,0.4918032787,0.5081967213,77,65,6,8,30,161,7,1,3,8,22,42,122,0.1182795699,8,22,5,10,2.0624,0.88,5,4,0.01,30,11,8,0.823529411764706,0.666666666666667,0.885714285714286,1.0,0.0303030303030303,0.363636363636364,0,47.81,79.32,1.66,0.02,0,0,3,4,4,0,5,0.17647058823529405,0.33333333333333304,0.11428571428571399,0.0,0.636363636363636
Sample_0230,0,0,130,58,363,0.887477313974592,0.0,0.519924098671727,0.137767220902613,346,0,32,115,112,102,57,171,0.253393665158371,0.230769230769231,0.1289592760181,0.386877828054299,442,40.6109591120426,143,35,1.64705882352941,1.24561403508772,1.26315789473684,0.991071428571429,404,284,0.4127906977,0.5872093023,168,78,30,23,105,239,19,4,4,18,96,93,215,0.2376237624,25,395,15,225,2.5879,0.83,7,10,0.92,106,35,18,0.953168044077135,0.551724137931034,0.884615384615385,0.83625730994152,0.00225733634311512,0.342362678705794,8,43.36,49.41,1.14,0.01,0,0,17,26,15,28,67,0.04683195592286504,0.44827586206896597,0.11538461538461497,0.16374269005847997,0.6576373212942059
Sample_0231,0,0,89,71,65,0.968888888888889,0.00444444444444445,0.473684210526316,0.522058823529412,64,0,51,80,38,39,29,46,0.25,0.256578947368421,0.190789473684211,0.302631578947368,152,6.04152298679729,43,6,1.35897435897436,1.48275862068966,1.56521739130435,1.0,374,253,0.4035087719,0.5964912281,159,69,19,18,109,215,10,3,4,21,116,71,187,0.3101604278,28,124,23,75,1.6468,0.89,12,9,1.17,110,22,21,0.984615384615385,0.71830985915493,0.898876404494382,0.934782608695652,0.0065359477124183,0.152840623428859,9,45.78,53.2,1.16,0.0,0,0,1,20,9,3,33,0.015384615384614997,0.28169014084507005,0.101123595505618,0.065217391304348,0.8471593765711409
Sample_0232,0,1,40,14,147,0.771144278606965,0.00497512437810945,0.476190476190476,0.0869565217391304,138,0,7,33,138,150,57,16,0.382271468144044,0.415512465373961,0.157894736842105,0.0443213296398892,361,55.8317785853182,9,26,1.66666666666667,1.7719298245614,1.0625,0.826086956521739,1591,158,0.09033733562,0.9096626644,305,44,24,27,1191,104,13,0,6,35,1150,183,258,0.7228158391,30,118,20,54,3.1263,0.94,33,11,0.91,1192,44,35,0.938775510204082,0.5,0.825,0.5625,0.00276243093922652,0.172854511970534,10,61.38,32.79,0.53,0.0,0,0,9,7,7,7,124,0.06122448979591799,0.5,0.17500000000000004,0.4375,0.827145488029466
Sample_0233,1,0,13,7,566,0.257679180887372,0.0546075085324232,0.578048780487805,0.012216404886562,511,0,3,4,126,138,68,403,0.171428571428572,0.187755102040816,0.0925170068027211,0.548299319727891,735,129.322030219139,161,46,1.51449275362319,1.38235294117647,1.53846153846154,1.42857142857143,1045,224,0.1765169425,0.8234830575,239,65,22,21,698,197,8,3,5,11,642,147,256,0.614354067,38,433,15,136,5.3019,0.56,36,13,0.15,698,66,11,0.902826855123675,0.428571428571428,0.307692307692308,0.399503722084367,0.00135869565217391,0.332880434782609,4,71.79,29.6,0.41,0.0,0,0,55,4,9,242,92,0.097173144876325,0.5714285714285721,0.6923076923076921,0.600496277915633,0.667119565217391
