SAMPLE_ID,other_HRR_gene_mutation_somatic,cnv_DUP_len_30000_inf,cnv_DUP_len_30_100,cnv_DEL_len_100000_inf,cnv_DIPLOID_len_100000_inf,sv_n_trans,sv_n_del,sv_n_inv,sv_n_tadem_dup,sv_dup_30000+,sv_del_100000+,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,indel_insdel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,BRCA1/2_mut,cnv_DUP_len_0_30000,cnv_DEL_len_0_100000,cnv_DIPLOID_len_0_100000,sv_dup_0_30000,sv_del_0_100000
Sample_0178,0,362,0,65,159,72,145,93,210,188,81,1.48965517241379,1.83870967741935,1.82380952380952,1.11111111111111,548,306,0.558394160583942,274,37,33,41,163,252,23,4,3,24,175,98,258,0.558394160583942,33,489,20,296,17,12,0.17,164,57,26,16,43.9,44.17,1.01,0.06,1,1,0,33,37,22,22,64
Sample_0179,0,173,0,5,35,50,60,45,15,12,14,1.95,1.48888888888889,1.53333333333333,1.32,1014,100,0.0986193293885602,198,33,23,20,740,69,12,3,3,13,641,122,183,0.0986193293885602,35,130,16,41,35,8,0.03,741,26,13,0,59.75,37.71,0.63,0.05,0,0,1,13,6,6,3,46
Sample_0180,0,75,0,45,85,29,21,24,46,43,11,1.76190476190476,1.41666666666667,1.17391304347826,2.37931034482759,149,98,0.657718120805369,84,11,13,8,33,83,3,0,0,12,37,33,75,0.657718120805369,25,121,22,67,6,10,0.0,33,16,12,2,30.17,72.22,2.39,0.04,0,0,0,4,21,4,3,10
Sample_0181,0,230,0,18,80,61,62,76,77,75,37,1.2741935483871,1.80263157894737,1.92207792207792,1.31147540983607,280,188,0.671428571428571,134,28,26,15,77,152,16,1,1,18,70,75,128,0.671428571428571,22,224,12,63,14,9,0.18,77,28,19,18,34.32,66.84,1.95,0.06,1,1,0,10,8,5,2,25
Sample_0182,0,258,0,17,78,75,78,26,87,51,9,1.78205128205128,1.30769230769231,1.57471264367816,1.57333333333333,677,91,0.134416543574594,138,10,12,13,504,55,7,2,4,23,434,106,113,0.134416543574594,39,281,23,161,26,27,0.86,504,44,23,10,66.63,36.21,0.54,0.03,1,0,0,21,24,14,36,69
Sample_0183,1,286,0,22,51,69,110,40,26,19,14,1.4,2.125,1.96153846153846,0.971014492753623,380,48,0.126315789473684,98,6,4,8,264,33,4,1,1,9,232,63,68,0.126315789473684,31,221,18,73,26,9,0.0,264,12,9,5,51.61,29.59,0.57,0.03,0,0,0,3,11,6,7,96
Sample_0184,0,242,0,19,68,129,111,89,193,57,33,1.71171171171171,1.57303370786517,1.53886010362694,1.33333333333333,627,92,0.146730462519936,109,18,20,7,473,78,0,1,1,12,391,129,91,0.146730462519936,32,224,13,69,39,10,0.0,473,26,12,7,74.44,30.03,0.4,0.06,1,0,1,14,1,4,136,78
Sample_0185,0,170,0,6,59,49,53,18,131,15,9,1.50943396226415,0.888888888888889,1.66412213740458,1.12244897959184,700,85,0.121428571428571,114,21,10,17,538,63,5,2,1,14,460,104,108,0.121428571428571,36,151,22,81,27,23,0.01,538,28,14,0,53.43,43.2,0.81,0.1,1,0,1,14,15,4,116,44
Sample_0186,0,230,0,13,55,100,70,53,164,30,15,1.28571428571429,1.15094339622642,1.50609756097561,1.23,609,123,0.201970443349754,159,14,17,22,397,90,11,1,3,18,332,114,134,0.201970443349754,37,224,23,128,32,18,0.14,397,31,18,5,50.29,40.25,0.8,0.06,1,0,0,13,10,8,134,55
Sample_0187,1,186,0,23,84,37,80,47,16,14,28,1.9125,1.23404255319149,1.25,0.459459459459459,443,132,0.297968397291196,103,18,13,13,296,87,11,3,6,25,250,60,110,0.297968397291196,27,255,18,130,11,6,0.2,297,75,25,6,32.2,74.04,2.3,0.04,0,0,0,50,26,16,2,52
Sample_0188,1,298,0,18,93,104,133,99,90,84,25,1.78947368421053,1.44444444444444,1.82222222222222,1.08653846153846,743,187,0.251682368775235,190,41,21,24,467,143,13,2,4,25,422,103,177,0.251682368775235,33,307,16,100,19,15,0.01,468,51,26,12,38.16,77.94,2.04,0.09,1,1,0,26,16,14,6,108
Sample_0189,0,213,0,1,27,70,91,23,92,34,11,1.87912087912088,2.0,1.51086956521739,0.885714285714286,896,180,0.200892857142857,253,20,19,20,584,112,7,4,4,53,489,151,214,0.200892857142857,30,212,16,151,27,17,0.9,585,108,60,4,61.34,37.67,0.61,0.03,0,0,1,55,2,3,58,80
Sample_0190,0,275,0,54,79,131,126,52,268,70,37,1.73015873015873,1.5,1.79850746268657,1.27480916030534,1152,100,0.0868055555555556,316,39,32,30,735,67,11,3,3,16,646,194,283,0.0868055555555556,33,318,24,150,39,18,0.04,738,28,17,4,66.92,36.13,0.54,0.05,1,0,1,12,33,13,198,89
Sample_0191,0,209,0,5,30,93,52,44,63,13,12,2.40384615384615,0.681818181818182,1.71428571428571,0.89247311827957,523,126,0.240917782026769,101,21,16,18,367,63,16,5,4,38,290,94,108,0.240917782026769,31,156,12,43,30,17,0.05,367,55,38,7,62.48,42.87,0.69,0.06,0,0,1,17,2,2,50,40
Sample_0192,0,100,0,46,106,72,48,26,184,106,10,2.14583333333333,2.03846153846154,1.77717391304348,1.54166666666667,532,93,0.174812030075188,100,10,19,9,394,77,3,3,2,8,329,97,86,0.174812030075188,28,160,19,75,25,15,0.0,395,20,8,0,50.84,44.85,0.88,0.07,0,0,0,12,11,13,78,38
Sample_0193,0,285,0,9,51,111,85,38,163,46,10,1.70588235294118,0.868421052631579,1.89570552147239,1.0990990990991,923,103,0.111592632719393,140,21,20,13,729,63,9,3,6,22,619,146,112,0.111592632719393,32,243,14,57,39,8,0.33,729,36,22,2,58.55,36.42,0.62,0.03,0,0,1,14,3,7,117,75
Sample_0194,0,319,0,2,42,75,62,26,87,22,14,1.53225806451613,1.23076923076923,1.49425287356322,1.2,583,83,0.142367066895369,105,12,15,11,440,56,6,1,3,17,363,104,86,0.142367066895369,38,235,24,83,29,16,0.09,440,34,18,2,56.6,35.18,0.62,0.03,0,0,1,17,7,2,65,48
Sample_0195,0,66,0,62,81,124,122,83,26,26,16,1.70491803278688,1.09638554216868,1.42307692307692,0.782258064516129,1573,189,0.120152574698029,281,53,30,39,1170,109,18,5,9,48,1044,197,253,0.120152574698029,30,122,25,73,27,28,0.11,1170,51,48,6,55.87,38.14,0.68,0.07,0,0,1,3,14,3,0,106
Sample_0196,1,199,0,3,38,48,99,20,15,11,7,2.87878787878788,1.05,0.933333333333333,0.4375,809,114,0.140914709517923,167,14,16,23,589,81,9,1,5,18,493,111,141,0.140914709517923,26,156,16,71,16,15,0.1,590,54,18,6,55.47,45.07,0.81,0.0,0,0,0,36,9,4,4,92
Sample_0197,0,239,0,14,73,108,179,48,32,22,44,1.7877094972067,0.770833333333333,2.0,0.814814814814815,1117,137,0.122649955237243,234,38,27,28,790,92,9,4,4,28,708,132,211,0.122649955237243,33,262,18,130,30,14,0.59,791,54,30,2,46.43,39.08,0.84,0.07,1,0,1,26,18,20,10,135
Sample_0198,0,113,0,65,111,160,124,75,258,69,41,1.70967741935484,1.58666666666667,1.51937984496124,1.3625,935,121,0.129411764705882,122,16,29,13,755,85,7,2,7,20,609,182,105,0.129411764705882,28,215,22,139,30,25,0.17,757,30,20,5,48.96,40.41,0.83,0.05,0,0,1,10,20,18,189,83
Sample_0199,1,72,0,59,85,44,92,42,30,20,10,1.68478260869565,1.09523809523809,2.36666666666667,1.09090909090909,967,110,0.113753877973113,137,19,20,23,768,79,5,3,2,21,666,115,122,0.113753877973113,25,131,19,81,19,14,0.04,768,40,21,6,51.17,40.85,0.8,0.07,0,0,0,19,6,4,10,82
Sample_0200,0,212,0,8,43,19,27,19,27,25,14,2.62962962962963,1.31578947368421,1.88888888888889,0.894736842105263,151,111,0.735099337748344,70,15,8,16,42,78,4,2,4,23,48,33,67,0.735099337748344,27,164,16,74,8,12,0.14,42,33,23,10,33.4,62.52,1.87,0.09,1,0,0,10,5,4,2,13
Sample_0201,0,39,0,43,64,43,63,29,121,17,12,1.65079365079365,0.862068965517241,1.88429752066116,1.86046511627907,696,89,0.127873563218391,146,17,11,17,505,61,4,4,2,18,416,117,128,0.127873563218391,31,80,23,51,21,26,0.58,505,21,19,0,54.62,40.68,0.74,0.04,0,0,1,3,11,7,104,51
Sample_0202,0,253,0,25,59,79,64,95,72,63,35,1.4375,1.29473684210526,1.0,0.886075949367089,184,69,0.375,76,16,12,10,70,52,6,1,3,7,65,43,71,0.375,24,269,18,152,15,6,0.03,71,16,8,11,31.94,62.29,1.95,0.04,1,0,0,9,9,9,9,29
Sample_0203,1,302,0,4,4,38,65,50,53,48,24,1.29230769230769,1.4,1.45283018867924,1.15789473684211,446,198,0.443946188340807,211,30,20,30,155,168,6,1,1,22,158,77,198,0.443946188340807,34,221,20,83,16,17,0.46,155,28,22,19,40.99,50.26,1.23,0.04,1,0,0,6,13,2,5,41
Sample_0204,0,459,0,7,25,56,44,57,145,126,17,1.45454545454546,1.10526315789474,1.71034482758621,1.14285714285714,288,148,0.513888888888889,154,27,22,22,63,121,6,3,2,16,58,71,155,0.513888888888889,37,383,18,190,12,19,0.07,64,33,17,16,37.24,55.16,1.48,0.09,0,0,0,17,6,3,19,27
Sample_0205,0,300,0,28,82,62,38,50,55,45,20,1.60526315789474,1.5,2.63636363636364,0.983870967741936,323,245,0.758513931888545,110,38,19,25,131,163,15,5,5,57,107,68,133,0.758513931888545,33,332,14,143,10,5,0.35,136,78,57,9,30.96,72.67,2.35,0.03,1,1,0,21,28,22,10,18
Sample_0206,0,317,0,34,91,45,45,43,52,48,24,1.55555555555556,1.11627906976744,1.69230769230769,0.555555555555556,236,85,0.360169491525424,124,26,19,10,57,58,7,0,5,15,59,49,120,0.360169491525424,25,277,7,97,9,3,0.03,57,20,15,9,33.58,53.65,1.6,0.05,1,1,0,5,10,19,4,21
Sample_0207,0,91,0,56,80,60,71,34,101,43,16,2.32394366197183,1.58823529411765,1.42574257425743,1.63333333333333,530,74,0.139622641509434,121,14,11,14,370,50,7,2,1,14,304,108,93,0.139622641509434,34,134,25,70,24,19,0.26,371,16,14,3,47.51,41.63,0.88,0.03,1,0,1,2,16,8,58,55
Sample_0208,0,214,0,17,61,45,51,37,23,12,26,1.33333333333333,1.67567567567568,1.39130434782609,0.8,242,148,0.611570247933884,117,17,24,16,68,123,7,3,4,11,68,64,106,0.611570247933884,21,234,13,100,10,13,0.16,69,34,12,16,139.5,36.55,0.26,0.05,0,0,0,23,15,14,11,25
Sample_0209,0,221,0,7,36,15,53,57,54,48,27,2.24528301886793,2.28070175438596,1.98148148148148,0.933333333333333,4953,20517,4.14233797698365,4557,203,43,38,112,18378,1828,146,101,64,153,277,4507,4.14233797698365,23,168,10,42,16,2,4.75,113,75,65,10,78.89,57.04,0.72,0.03,1,1,0,11,11,7,6,26
Sample_0210,1,102,0,13,45,20,56,44,15,8,15,1.625,1.43181818181818,0.8,0.85,397,106,0.267002518891688,140,20,15,27,195,68,10,2,2,24,158,82,142,0.267002518891688,27,114,16,66,9,8,0.12,196,45,25,8,43.34,48.1,1.11,0.05,0,0,0,21,7,12,7,41
Sample_0211,0,356,0,65,237,73,25,40,314,310,10,2.16,3.65,2.11783439490446,1.19178082191781,209,124,0.593301435406699,98,22,18,13,58,83,7,5,2,27,57,57,90,0.593301435406699,24,439,20,140,8,12,0.06,58,27,27,2,33.23,71.85,2.16,0.01,1,0,0,0,11,6,4,15
Sample_0212,0,851,0,4,54,119,72,104,522,504,49,0.972222222222222,1.66346153846154,1.97509578544061,1.33613445378151,383,133,0.347258485639687,198,33,21,15,116,94,8,4,3,24,100,91,180,0.347258485639687,28,708,16,275,11,5,0.25,117,123,26,19,42.01,46.62,1.11,0.04,1,0,0,99,3,7,18,23
Sample_0213,0,253,0,2,42,62,70,39,122,84,23,2.01428571428571,1.71794871794872,1.4344262295082,1.30645161290323,535,96,0.179439252336449,196,12,13,13,301,73,6,1,0,16,272,92,156,0.179439252336449,25,176,14,57,21,18,0.0,301,30,17,11,58.88,34.14,0.58,0.04,0,0,1,14,8,1,38,47
Sample_0214,0,204,0,7,60,50,155,47,26,21,26,1.33548387096774,0.851063829787234,1.03846153846154,0.64,1043,141,0.135186960690316,224,44,28,19,728,100,11,3,2,25,645,148,204,0.135186960690316,35,190,18,98,18,20,0.42,728,37,27,9,51.79,38.6,0.75,0.12,0,0,1,12,15,5,5,129
Sample_0215,0,367,0,12,34,94,165,52,32,22,37,1.71515151515152,0.942307692307692,1.46875,0.574468085106383,1088,187,0.171875,414,75,50,52,497,153,10,3,2,19,480,197,383,0.171875,36,364,12,134,21,14,0.63,497,51,21,13,50.54,37.62,0.74,0.0,1,0,0,32,7,15,10,128
Sample_0216,1,140,0,8,51,15,24,38,30,25,14,2.20833333333333,1.52631578947368,1.23333333333333,0.8,235,95,0.404255319148936,73,19,12,11,120,77,1,2,4,11,111,39,83,0.404255319148936,31,143,20,79,8,17,0.18,123,25,11,2,24.47,72.38,2.96,0.12,1,0,0,14,26,8,5,10
Sample_0217,1,18,0,46,47,44,121,35,12,7,13,1.41322314049587,0.6,3.75,0.477272727272727,1102,193,0.17513611615245,199,29,20,23,831,145,17,3,2,26,732,132,176,0.17513611615245,26,57,19,44,12,11,0.22,831,27,26,0,68.51,35.21,0.51,0.32,0,0,1,1,27,9,5,108
Sample_0218,0,157,0,20,62,41,38,47,17,16,16,0.763157894736842,0.914893617021277,1.52941176470588,0.780487804878049,319,112,0.351097178683386,147,26,11,14,121,85,5,4,4,14,110,69,130,0.351097178683386,29,201,20,135,10,14,1.08,125,29,15,14,41.83,55.13,1.32,0.34,1,0,0,15,28,7,1,22
Sample_0219,1,238,0,16,55,38,113,43,10,6,30,1.48672566371681,2.74418604651163,4.1,0.789473684210526,687,202,0.294032023289665,361,90,36,29,171,172,7,5,4,14,167,149,352,0.294032023289665,31,242,13,97,13,12,0.85,171,39,15,10,41.89,51.39,1.23,0.39,1,1,0,25,16,15,4,83
Sample_0220,0,42,0,50,74,230,43,43,300,21,7,1.23255813953488,0.930232558139535,1.4,0.808695652173913,550,96,0.174545454545455,76,17,12,15,430,72,1,3,4,16,369,91,75,0.174545454545455,31,115,24,75,24,21,0.67,431,33,17,1,60.21,47.4,0.79,0.43,0,0,1,17,18,14,279,36
Sample_0221,0,122,0,22,100,64,39,14,78,57,10,1.28205128205128,0.571428571428571,2.02564102564103,0.703125,440,108,0.245454545454546,91,16,15,10,308,76,8,0,3,21,277,62,90,0.245454545454546,26,143,15,45,25,10,0.09,308,39,21,1,52.49,44.69,0.85,0.13,0,0,1,18,8,8,21,29
Sample_0222,1,76,0,73,113,92,198,63,29,24,24,2.31313131313131,2.07936507936508,1.58620689655172,0.945652173913044,1524,205,0.134514435695538,286,88,28,42,1080,151,12,3,5,34,961,193,285,0.134514435695538,32,185,24,127,23,19,1.18,1080,49,34,3,56.11,38.18,0.68,0.1,1,0,1,15,36,16,5,174
Sample_0223,0,141,0,17,144,47,31,11,56,45,16,1.51612903225806,1.09090909090909,1.30357142857143,0.425531914893617,206,226,1.09708737864078,103,58,11,3,31,194,9,2,6,15,28,39,136,1.09708737864078,6,175,2,37,8,5,0.07,32,28,15,0,35.37,97.65,2.76,0.2,0,0,0,13,8,7,11,15
Sample_0224,0,50,0,52,64,102,38,34,173,15,13,1.21052631578947,1.14705882352941,1.36994219653179,0.901960784313726,627,89,0.141945773524721,91,32,13,14,477,60,7,5,0,17,408,104,104,0.141945773524721,33,94,24,51,30,16,0.24,477,29,17,1,51.69,43.8,0.85,0.21,0,0,1,12,10,11,158,25
Sample_0225,0,235,0,8,39,49,146,99,34,29,51,1.86986301369863,1.51515151515151,1.11764705882353,0.591836734693878,526,166,0.315589353612167,251,88,42,31,114,142,9,0,3,12,123,119,276,0.315589353612167,30,244,14,115,11,6,0.83,115,41,12,9,32.82,68.47,2.09,0.22,1,0,0,29,10,17,5,95
Sample_0226,0,246,0,5,39,18,46,57,73,70,31,0.847826086956522,1.05263157894737,1.53424657534247,0.666666666666667,313,204,0.651757188498403,144,67,14,17,71,176,10,0,3,15,74,68,164,0.651757188498403,25,242,13,113,4,6,0.44,75,53,16,1,35.09,63.5,1.81,0.11,1,1,0,38,23,16,3,15
Sample_0227,1,46,0,65,88,105,125,36,45,27,16,2.12,1.0,1.42222222222222,0.771428571428571,1229,278,0.22620016273393,293,98,36,41,761,222,16,5,7,28,665,161,331,0.22620016273393,30,138,24,98,23,17,0.64,763,33,29,0,68.59,34.36,0.5,0.1,0,0,0,5,56,10,18,109
Sample_0228,0,59,0,54,73,34,43,36,44,41,25,1.65116279069767,1.88888888888889,2.43181818181818,0.794117647058823,266,234,0.879699248120301,124,75,12,15,40,207,14,2,1,10,44,43,174,0.879699248120301,18,116,15,66,6,2,0.35,40,12,10,9,38.16,63.87,1.67,0.09,0,0,0,2,9,6,3,18
Sample_0229,0,14,0,8,31,14,8,7,3,3,3,1.125,1.85714285714286,0.666666666666667,0.857142857142857,186,180,0.967741935483871,77,65,6,8,30,161,7,1,3,8,22,42,121,0.967741935483871,8,22,5,10,5,4,0.01,30,11,8,0,47.81,79.32,1.66,0.02,0,0,0,3,4,4,0,5
Sample_0230,0,346,0,32,115,112,102,57,171,143,35,1.64705882352941,1.24561403508772,1.26315789473684,0.991071428571429,404,284,0.702970297029703,168,78,30,23,105,239,19,4,4,18,88,93,215,0.702970297029703,25,395,15,225,7,10,0.92,106,35,18,8,43.36,49.41,1.14,0.01,0,0,0,17,26,15,28,67
Sample_0231,0,64,0,51,80,38,39,29,46,43,6,1.35897435897436,1.48275862068966,1.56521739130435,1.0,374,253,0.676470588235294,159,69,19,18,109,215,10,3,4,21,96,71,187,0.676470588235294,28,124,23,75,12,9,1.17,110,22,21,9,45.78,53.2,1.16,0.0,1,1,0,1,20,9,3,33
Sample_0232,1,138,0,7,33,138,150,57,16,9,26,1.66666666666667,1.7719298245614,1.0625,0.826086956521739,1591,158,0.0993086109365179,305,44,24,27,1191,104,13,0,6,35,1070,183,258,0.0993086109365179,30,118,20,54,33,11,0.91,1192,44,35,10,61.38,32.79,0.53,0.0,1,0,0,9,7,7,7,124
Sample_0233,0,511,0,3,4,126,138,68,403,161,46,1.51449275362319,1.38235294117647,1.53846153846154,1.42857142857143,1045,224,0.214354066985646,239,65,22,21,698,197,8,3,5,11,595,147,256,0.214354066985646,38,433,15,136,36,13,0.15,698,66,11,4,71.79,29.6,0.41,0.0,1,0,1,55,4,9,242,92
Sample_0234,1,371,0,30,91,200,148,92,302,69,45,1.56081081081081,1.35869565217391,1.64900662251656,1.215,1541,187,0.121349772874757,282,74,20,22,1143,145,8,5,2,27,955,263,282,0.121349772874757,38,430,20,184,28,13,0.53,1143,51,27,8,54.88,34.2,0.62,0.02,0,0,0,24,15,27,233,103
Sample_0235,0,44,0,38,49,22,26,33,6,5,7,1.07692307692308,0.848484848484849,5.33333333333333,0.681818181818182,400,124,0.31,169,37,17,10,167,99,8,3,1,13,175,56,161,0.31,23,92,18,57,10,11,0.37,167,21,13,16,39.78,46.43,1.17,0.02,0,0,0,8,18,10,1,19
Sample_0236,0,591,0,14,94,82,58,88,563,541,38,1.32758620689655,1.36363636363636,1.68738898756661,1.68292682926829,442,225,0.509049773755656,238,89,18,22,75,195,7,3,4,16,91,86,260,0.509049773755656,28,549,17,207,10,8,0.6,75,61,18,8,44.1,49.05,1.11,0.13,1,0,0,45,9,9,22,20
Sample_0237,0,288,0,21,67,74,69,57,51,40,44,1.6231884057971,0.824561403508772,2.45098039215686,0.716216216216216,528,340,0.643939393939394,206,101,42,25,154,291,12,5,5,27,143,124,244,0.643939393939394,28,299,14,93,10,6,0.81,154,45,27,13,41.91,49.03,1.17,0.06,1,1,0,18,18,8,11,25
Sample_0238,0,124,0,16,66,11,40,18,48,42,11,1.55,2.77777777777778,1.4375,0.727272727272727,404,265,0.655940594059406,168,26,21,22,167,221,13,4,9,18,170,62,161,0.655940594059406,28,183,23,124,3,17,1.02,169,42,19,7,41.91,47.57,1.14,0.05,1,1,0,24,27,12,6,29
Sample_0239,0,261,0,20,84,30,43,75,92,85,27,1.74418604651163,0.893333333333333,1.3695652173913,1.3,330,225,0.681818181818182,128,34,13,25,130,184,11,3,5,22,120,67,135,0.681818181818182,25,267,10,78,9,9,0.57,131,41,22,23,37.48,70.57,1.88,0.1,1,1,0,19,11,13,7,16
Sample_0240,0,331,0,16,95,195,130,87,330,114,29,1.41538461538462,1.33333333333333,1.5,1.22564102564103,1470,226,0.153741496598639,309,85,30,23,1023,197,7,3,2,17,881,231,321,0.153741496598639,39,330,17,136,31,18,1.03,1024,37,18,5,57.86,37.61,0.65,0.1,1,0,0,20,12,9,216,101
Sample_0241,0,267,0,17,64,118,53,65,37,31,36,1.18867924528302,2.70769230769231,0.783783783783784,0.542372881355932,484,238,0.491735537190083,230,51,23,37,143,207,10,1,6,14,149,93,234,0.491735537190083,27,294,9,109,14,9,0.6,144,45,17,24,27.27,80.02,2.93,0.16,1,1,0,31,17,8,6,17
Sample_0242,0,336,0,2,5,5,25,38,34,30,17,1.08,0.921052631578947,1.55882352941176,1.8,265,217,0.818867924528302,118,85,20,12,30,193,11,2,2,9,39,41,177,0.818867924528302,38,291,15,141,7,15,0.15,33,48,10,9,31.15,73.68,2.37,0.06,1,0,0,39,11,7,4,8
Sample_0243,0,202,0,14,65,72,59,27,158,16,14,1.8135593220339,2.37037037037037,1.72151898734177,1.41666666666667,850,163,0.191764705882353,149,85,3,19,594,133,6,2,4,18,505,121,204,0.191764705882353,35,212,22,118,28,25,1.16,594,42,18,4,42.92,45.08,1.05,0.0,1,1,0,24,14,10,142,45
Sample_0244,0,36,0,49,81,63,138,28,11,8,15,2.33333333333333,1.28571428571429,2.36363636363636,1.11111111111111,1180,316,0.267796610169492,296,48,28,27,781,216,22,5,3,70,691,152,282,0.267796610169492,24,96,17,64,28,15,0.48,781,79,70,1,54.08,46.71,0.86,0.02,0,0,1,9,21,9,3,123
Sample_0245,0,200,0,9,54,96,102,38,120,19,20,1.62745098039216,1.60526315789474,1.29166666666667,1.22916666666667,839,186,0.221692491060787,138,24,9,14,654,143,9,0,2,32,538,142,118,0.221692491060787,36,191,19,113,32,21,0.43,656,46,32,8,50.28,40.84,0.81,0.03,0,0,0,14,17,9,101,82
Sample_0246,0,250,0,4,38,70,67,53,110,39,28,1.47761194029851,2.09433962264151,1.53636363636364,1.34285714285714,626,218,0.348242811501598,208,73,15,17,313,184,9,2,3,20,274,114,222,0.348242811501598,29,228,11,76,20,11,0.33,314,50,20,6,58.43,41.51,0.71,0.04,0,0,1,30,11,6,71,39
Sample_0247,0,315,0,6,25,17,99,45,25,22,39,1.14141414141414,1.04444444444444,0.92,0.823529411764706,655,339,0.517557251908397,287,134,41,36,157,291,18,5,8,17,144,152,349,0.517557251908397,34,294,14,86,12,5,0.64,160,53,20,5,39.03,54.1,1.39,0.0,0,0,0,36,12,6,3,60
Sample_0248,0,27,0,46,68,61,156,55,15,11,15,1.60897435897436,1.87272727272727,0.266666666666667,0.786885245901639,855,145,0.169590643274854,176,30,29,26,594,101,8,5,2,29,519,114,174,0.169590643274854,29,84,23,64,16,16,0.34,594,34,29,0,55.53,38.19,0.69,0.0,0,0,0,5,39,6,4,141
Sample_0249,0,410,0,5,40,141,96,85,53,49,61,1.42708333333333,1.50588235294118,1.62264150943396,0.645390070921986,606,257,0.424092409240924,262,127,43,20,154,225,11,4,2,15,149,147,297,0.424092409240924,30,387,13,93,10,12,0.75,154,31,15,24,43.97,59.96,1.36,0.3,0,0,0,16,5,6,4,35
Sample_0250,0,105,0,23,64,15,66,24,54,39,35,1.37878787878788,1.08333333333333,0.907407407407407,0.8,84,80,0.952380952380952,47,5,4,5,23,64,4,3,2,7,19,23,40,0.952380952380952,27,149,22,126,4,13,0.03,24,17,7,4,33.94,64.23,1.89,0.26,1,1,0,10,26,5,15,31
Sample_0251,1,107,0,36,93,89,93,72,97,81,17,1.96774193548387,2.05555555555556,1.11340206185567,0.573033707865168,538,155,0.288104089219331,133,24,5,8,368,119,9,5,2,20,326,67,118,0.288104089219331,26,142,15,57,24,15,0.17,368,24,20,3,49.79,53.19,1.07,0.07,0,0,0,4,21,8,16,76
Sample_0252,0,245,0,16,66,161,74,92,44,30,42,1.10810810810811,0.989130434782609,1.43181818181818,0.590062111801242,314,169,0.538216560509554,106,30,22,10,146,126,11,3,2,27,146,73,89,0.538216560509554,23,245,10,68,6,8,0.4,146,41,28,20,32.6,77.33,2.37,0.0,0,0,0,14,3,2,14,32
Sample_0253,1,67,0,55,80,59,61,15,147,62,7,1.14754098360656,1.33333333333333,1.80272108843537,1.06779661016949,624,128,0.205128205128205,119,16,9,8,472,95,3,1,7,22,401,91,110,0.205128205128205,30,140,24,87,23,19,0.39,473,38,25,0,54.46,41.34,0.76,0.05,0,0,1,16,18,10,85,54
Sample_0254,1,620,0,3,56,56,39,33,275,272,22,1.64102564102564,1.06060606060606,1.90909090909091,0.553571428571429,334,149,0.446107784431138,104,22,11,10,187,119,4,4,2,20,191,42,97,0.446107784431138,25,453,16,125,14,13,0.35,187,45,22,10,42.2,61.66,1.46,0.0,1,1,1,25,6,6,3,17
Sample_0255,0,100,0,19,135,32,9,9,4,1,1,0.666666666666667,1.55555555555556,2.25,2.25,57,43,0.754385964912281,38,5,3,2,9,39,1,0,0,3,9,16,31,0.754385964912281,13,145,6,62,1,1,0.0,9,32,3,0,21.13,95.74,4.53,0.0,0,0,0,29,16,7,3,8
