SAMPLE_ID,other_HRR_gene_mutation_somatic,cnv_DUP_len_30000_inf,cnv_DUP_len_30_100,cnv_DEL_len_100000_inf,cnv_DIPLOID_len_100000_inf,sv_n_trans,sv_n_del,sv_n_inv,sv_n_tadem_dup,sv_dup_30000+,sv_del_100000+,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,indel_insdel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,BRCA1/2_mut,cnv_DUP_len_0_30000,cnv_DEL_len_0_100000,cnv_DIPLOID_len_0_100000,sv_dup_0_30000,sv_del_0_100000
Sample_0135,0,68,0,40,90,59,67,18,98,33,23,1.95522388059702,1.88888888888889,1.8469387755102,1.1864406779661,411,52,0.126520681265207,101,14,11,8,277,32,5,1,1,13,238,75,87,0.126520681265207,27,109,17,67,28,16,0.0,277,16,14,0,54.43,42.14,0.77,0.02,0,0,1,3,9,3,65,44
Sample_0136,0,96,0,11,51,19,68,20,23,10,10,1.63235294117647,0.8,1.26086956521739,1.26315789473684,252,221,0.876984126984127,108,17,6,13,108,206,4,0,2,9,98,49,94,0.876984126984127,31,107,18,60,12,17,0.01,109,12,9,5,56.06,45.2,0.81,0.06,1,1,0,3,16,5,13,58
Sample_0137,0,416,0,16,95,185,75,104,76,75,48,1.85333333333333,1.55769230769231,1.52631578947368,1.32432432432432,259,141,0.544401544401544,158,20,10,12,59,119,7,1,3,11,57,49,145,0.544401544401544,28,402,11,106,19,16,0.05,59,38,13,26,43978.0,68.33,0.0,0.02,1,1,0,27,6,3,1,27
Sample_0138,0,65,0,72,89,64,64,48,152,35,13,1.53125,1.6875,1.80263157894737,1.171875,684,87,0.12719298245614,129,21,11,13,510,49,8,3,2,25,446,104,112,0.12719298245614,30,150,25,92,31,18,0.25,510,37,25,0,43.51,41.87,0.96,0.09,0,0,1,12,21,18,117,51
Sample_0139,0,312,0,6,25,88,148,83,68,62,66,1.33108108108108,2.16867469879518,1.83823529411765,1.07954545454546,426,128,0.300469483568075,190,36,23,21,156,107,2,1,2,16,145,79,176,0.300469483568075,30,263,13,62,12,6,0.04,156,27,16,23,34.69,51.19,1.48,0.09,1,1,0,11,1,2,6,82
Sample_0140,0,72,0,42,56,20,48,49,15,10,12,1.33333333333333,1.75510204081633,1.73333333333333,0.95,246,69,0.280487804878049,148,11,4,14,69,53,3,0,1,12,68,67,107,0.280487804878049,25,105,17,42,11,5,0.05,71,20,12,14,44.76,38.93,0.87,0.09,0,0,0,8,22,3,5,36
Sample_0141,0,50,0,68,83,60,57,43,108,23,12,2.12280701754386,1.51162790697674,1.87962962962963,1.08333333333333,660,82,0.124242424242424,146,17,15,20,462,64,5,3,3,7,389,128,130,0.124242424242424,31,134,23,96,21,20,0.2,464,16,7,3,67.62,35.46,0.52,0.09,0,0,1,9,17,15,85,45
Sample_0142,1,85,0,20,50,11,9,18,11,11,2,1.44444444444444,1.88888888888889,2.63636363636364,1.0,174,100,0.574712643678161,66,17,15,33,43,71,14,1,2,12,54,39,77,0.574712643678161,24,107,14,66,10,16,0.0,45,18,12,4,22.63,84.84,3.75,0.06,0,0,0,6,8,4,0,7
Sample_0143,0,270,0,23,76,68,48,94,25,20,32,1.64583333333333,1.5531914893617,1.48,0.926470588235294,239,228,0.95397489539749,108,27,22,13,69,184,13,4,5,22,68,50,112,0.95397489539749,30,276,19,84,18,12,0.15,70,34,23,21,25.87,93.91,3.63,0.03,1,1,0,12,13,8,5,16
Sample_0144,0,241,0,6,44,30,45,76,44,39,18,1.33333333333333,1.59210526315789,1.68181818181818,1.06666666666667,285,173,0.607017543859649,167,17,19,15,67,142,12,3,3,13,71,70,140,0.607017543859649,21,209,8,34,7,5,0.08,67,25,13,29,35.7,51.77,1.45,0.08,1,1,0,12,3,8,5,27
Sample_0145,1,52,0,41,63,38,73,30,8,5,11,2.34246575342466,1.76666666666667,1.0,1.57894736842105,580,76,0.131034482758621,126,11,15,13,415,54,6,1,4,11,374,73,100,0.131034482758621,19,76,14,38,18,13,0.01,415,15,12,0,53.46,44.34,0.83,0.09,0,0,1,4,5,2,3,62
Sample_0146,0,221,0,14,55,120,142,48,115,17,24,1.83802816901408,1.375,1.61739130434783,1.35833333333333,1424,110,0.0772471910112359,352,36,23,41,972,71,12,4,4,19,847,270,261,0.0772471910112359,34,206,15,69,30,16,0.08,972,24,19,2,73.63,28.18,0.38,0.02,0,0,1,5,5,11,98,118
Sample_0147,0,64,0,38,67,51,35,25,166,53,9,1.74285714285714,1.44,1.6144578313253,1.25490196078431,512,82,0.16015625,111,7,8,9,377,58,7,0,1,16,314,96,85,0.16015625,28,94,22,35,20,13,0.01,377,21,16,0,58.3,33.87,0.58,0.01,0,0,1,5,9,6,113,26
Sample_0148,1,57,0,43,58,33,34,25,92,77,10,1.20588235294118,1.2,1.69565217391304,0.96969696969697,210,93,0.442857142857143,96,17,19,11,67,75,5,3,1,9,75,38,92,0.442857142857143,18,97,13,50,4,12,0.01,68,15,9,6,30.39,55.4,1.82,0.05,1,0,0,6,7,3,15,24
Sample_0149,0,430,0,9,35,37,35,43,28,22,22,1.14285714285714,1.48837209302326,1.17857142857143,0.837837837837838,123,90,0.731707317073171,59,15,7,10,32,78,4,0,1,7,32,26,61,0.731707317073171,35,334,16,126,15,15,0.01,32,24,7,23,26.15,85.24,3.26,0.07,1,1,0,17,6,9,6,13
Sample_0150,0,404,0,7,36,113,95,117,182,167,39,1.47368421052632,1.58974358974359,1.76923076923077,1.27433628318584,390,174,0.446153846153846,192,21,16,21,140,132,15,2,5,20,118,85,164,0.446153846153846,37,349,10,85,30,6,0.08,140,34,20,18,30.18,49.55,1.64,0.03,1,1,0,14,2,3,15,56
Sample_0151,0,123,0,62,100,91,38,66,148,121,12,0.684210526315789,1.56060606060606,1.5472972972973,0.89010989010989,391,146,0.373401534526854,134,16,14,18,209,123,8,0,0,15,183,70,129,0.373401534526854,29,182,22,85,12,22,0.01,211,22,15,10,47.31,45.52,0.96,0.04,0,0,1,7,13,11,27,26
Sample_0152,0,211,0,18,58,35,91,82,22,17,33,1.87912087912088,1.54878048780488,2.40909090909091,0.885714285714286,388,107,0.275773195876289,176,35,31,37,109,75,10,2,5,15,110,89,172,0.275773195876289,21,226,13,74,9,14,0.23,110,33,16,28,33.59,61.18,1.82,0.01,1,0,0,18,16,23,5,58
Sample_0153,0,128,0,27,73,43,58,47,35,33,37,1.13793103448276,1.19148936170213,1.51428571428571,0.790697674418605,344,148,0.430232558139535,177,30,27,28,82,116,7,3,0,22,94,69,176,0.430232558139535,26,152,15,71,14,15,0.05,82,26,22,8,34.82,58.11,1.67,0.1,1,1,0,4,5,2,2,21
Sample_0154,1,298,0,13,35,69,86,48,87,70,45,1.34883720930233,1.8125,1.72413793103448,0.579710144927536,255,112,0.43921568627451,137,17,23,13,65,87,7,4,3,11,73,66,110,0.43921568627451,32,283,16,135,10,18,0.08,65,30,13,7,32.43,59.69,1.84,0.02,1,1,0,19,10,6,17,41
Sample_0155,0,223,0,11,38,43,34,67,38,26,19,1.23529411764706,1.32835820895522,1.47368421052632,1.34883720930233,270,158,0.585185185185185,145,25,21,25,54,126,11,6,1,14,67,71,126,0.585185185185185,23,217,8,53,11,4,0.1,57,31,14,16,31.98,62.36,1.95,0.09,1,0,0,17,15,11,12,15
